industry,t,t-1,t-2,t-3,n
temperature,0.0004 (0.44),0.0005 (0.26),0.0004 (0.36),0.0012 (0.019),60807
precipitation,-0.0021 (0.006),-0.0014 (0.0074),-0.0011 (0.14),-0.0012 (0.14),60807
